timestamp,client_ip,domain,method,status,bytes
2026-05-26 19:37:31,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:37:31,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:37:32,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:37:32,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:37:32,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:37:32,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:37:35,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:37:35,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:37:37,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:37:37,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:37:38,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:37:38,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:37:38,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:37:38,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:37:43,127.0.0.1,www.google.com,CONNECT,ALLOWED,5380
2026-05-26 19:37:43,127.0.0.1,www.google.com,CONNECT,ALLOWED,4096
2026-05-26 19:37:46,127.0.0.1,beacons.gvt2.com,CONNECT,ALLOWED,5765
2026-05-26 19:37:47,127.0.0.1,beacons2.gvt2.com,CONNECT,ALLOWED,7048
2026-05-26 19:37:47,127.0.0.1,beacons2.gvt2.com,CONNECT,ALLOWED,7046
2026-05-26 19:37:54,127.0.0.1,main.vscode-cdn.net,CONNECT,ALLOWED,79490
2026-05-26 19:37:55,127.0.0.1,claude.ai,CONNECT,ALLOWED,5610
2026-05-26 19:37:56,127.0.0.1,api.anthropic.com,CONNECT,ALLOWED,256125
2026-05-26 19:37:58,127.0.0.1,a.claude.ai,CONNECT,ALLOWED,4930
2026-05-26 19:37:58,127.0.0.1,a-cdn.anthropic.com,CONNECT,ALLOWED,5660
2026-05-26 19:37:58,127.0.0.1,s-cdn.anthropic.com,CONNECT,ALLOWED,5104
2026-05-26 19:37:58,127.0.0.1,www.google.com,CONNECT,ALLOWED,6929
2026-05-26 19:37:58,127.0.0.1,browser-intake-us5-datadoghq.com,CONNECT,ALLOWED,4598
2026-05-26 19:38:01,127.0.0.1,www.google.com,CONNECT,ALLOWED,5381
2026-05-26 19:38:04,127.0.0.1,a-api.anthropic.com,CONNECT,ALLOWED,5294
2026-05-26 19:38:08,127.0.0.1,claude.ai,CONNECT,ALLOWED,120207
2026-05-26 19:38:15,127.0.0.1,browser-intake-us5-datadoghq.com,CONNECT,ALLOWED,4124
2026-05-26 19:39:32,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:39:32,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:39:33,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:39:33,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:39:33,127.0.0.1,relay-5df536e6.net.anydesk.com,CONNECT,ALLOWED,2108
2026-05-26 19:39:34,127.0.0.1,relay-300db5d9.net.anydesk.com,CONNECT,ALLOWED,1732
2026-05-26 19:39:38,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:39:38,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:39:44,127.0.0.1,claude.ai,CONNECT,ALLOWED,3026
2026-05-26 19:39:45,127.0.0.1,beacons.gcp.gvt2.com,CONNECT,ALLOWED,5778
2026-05-26 19:39:45,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:39:45,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:39:45,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:39:46,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:39:46,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:39:46,127.0.0.1,mobile.events.data.microsoft.com,CONNECT,ALLOWED,9223
2026-05-26 19:39:49,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:39:49,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:39:49,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:39:49,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:39:50,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:39:50,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:39:51,127.0.0.1,relay-300db5d9.net.anydesk.com,CONNECT,ALLOWED,1732
2026-05-26 19:39:55,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:39:55,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:39:58,127.0.0.1,browser-intake-us5-datadoghq.com,CONNECT,ALLOWED,3696
2026-05-26 19:39:58,127.0.0.1,a-api.anthropic.com,CONNECT,ALLOWED,2406
2026-05-26 19:40:01,127.0.0.1,www.google.com,CONNECT,ALLOWED,19455
2026-05-26 19:40:05,127.0.0.1,mobile.events.data.microsoft.com,CONNECT,ALLOWED,9084
2026-05-26 19:40:07,127.0.0.1,relay-300db5d9.net.anydesk.com,CONNECT,ALLOWED,1732
2026-05-26 19:40:08,127.0.0.1,fonts.gstatic.com,CONNECT,ALLOWED,1412
2026-05-26 19:40:13,127.0.0.1,mobile.events.data.microsoft.com,CONNECT,ALLOWED,9549
2026-05-26 19:40:20,127.0.0.1,browser-intake-us5-datadoghq.com,CONNECT,ALLOWED,3499
2026-05-26 19:40:21,127.0.0.1,a-api.anthropic.com,CONNECT,ALLOWED,2428
2026-05-26 19:40:21,127.0.0.1,www.google.com,CONNECT,ALLOWED,9786
2026-05-26 19:40:23,127.0.0.1,fonts.googleapis.com,CONNECT,ALLOWED,7092
2026-05-26 19:40:23,127.0.0.1,relay-300db5d9.net.anydesk.com,CONNECT,ALLOWED,1733
2026-05-26 19:40:23,127.0.0.1,fonts.gstatic.com,CONNECT,ALLOWED,74236
2026-05-26 19:40:35,127.0.0.1,www.google.com,CONNECT,ALLOWED,1492
2026-05-26 19:40:39,127.0.0.1,relay-300db5d9.net.anydesk.com,CONNECT,ALLOWED,2097
2026-05-26 19:40:40,127.0.0.1,www.facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:40:40,127.0.0.1,www.facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:40:40,127.0.0.1,www.facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:40:40,127.0.0.1,relay-bb34cef2.net.anydesk.com,CONNECT,ALLOWED,1684
2026-05-26 19:40:41,127.0.0.1,www.facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:40:41,127.0.0.1,www.facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:40:46,127.0.0.1,claude.ai,CONNECT,ALLOWED,30208
2026-05-26 19:40:50,127.0.0.1,browser-intake-us5-datadoghq.com,CONNECT,ALLOWED,3499
2026-05-26 19:40:50,127.0.0.1,www.google.com,CONNECT,ALLOWED,7156
2026-05-26 19:40:50,127.0.0.1,beacons.gcp.gvt2.com,CONNECT,ALLOWED,5890
2026-05-26 19:40:50,127.0.0.1,www.googleapis.com,CONNECT,ALLOWED,7493
2026-05-26 19:40:51,127.0.0.1,lh3.google.com,CONNECT,ALLOWED,10198
2026-05-26 19:40:51,127.0.0.1,encrypted-tbn0.gstatic.com,CONNECT,ALLOWED,10076
2026-05-26 19:40:51,127.0.0.1,ogads-pa.clients6.google.com,CONNECT,ALLOWED,11965
2026-05-26 19:40:51,127.0.0.1,lh3.googleusercontent.com,CONNECT,ALLOWED,13121
2026-05-26 19:40:52,127.0.0.1,play.google.com,CONNECT,ALLOWED,7999
2026-05-26 19:40:53,127.0.0.1,lh3.google.com,CONNECT,ALLOWED,10199
2026-05-26 19:40:54,127.0.0.1,history.google.com,CONNECT,ALLOWED,6633
2026-05-26 19:40:54,127.0.0.1,lh3.googleusercontent.com,CONNECT,ALLOWED,13122
2026-05-26 19:40:54,127.0.0.1,www.googleadservices.com,CONNECT,ALLOWED,6837
2026-05-26 19:40:54,127.0.0.1,www.gstatic.com,CONNECT,ALLOWED,94874
2026-05-26 19:40:54,127.0.0.1,www.googletagmanager.com,CONNECT,ALLOWED,7273
2026-05-26 19:40:54,127.0.0.1,ogads-pa.clients6.google.com,CONNECT,ALLOWED,11190
2026-05-26 19:40:54,127.0.0.1,ogads-pa.clients6.google.com,CONNECT,ALLOWED,11774
2026-05-26 19:40:54,127.0.0.1,accounts.google.com,CONNECT,ALLOWED,7276
2026-05-26 19:40:54,127.0.0.1,content-autofill.googleapis.com,CONNECT,ALLOWED,7232
2026-05-26 19:40:55,127.0.0.1,ssl.gstatic.com,CONNECT,ALLOWED,9312
2026-05-26 19:40:55,127.0.0.1,www.google.com,CONNECT,ALLOWED,1017725
2026-05-26 19:40:55,127.0.0.1,play.google.com,CONNECT,ALLOWED,7281
2026-05-26 19:40:55,127.0.0.1,play.google.com,CONNECT,ALLOWED,206452
2026-05-26 19:40:56,127.0.0.1,relay-bb34cef2.net.anydesk.com,CONNECT,ALLOWED,1685
2026-05-26 19:41:03,127.0.0.1,www.msftconnecttest.com,GET,ALLOWED,187
2026-05-26 19:41:03,127.0.0.1,www.msftconnecttest.com,GET,ALLOWED,187
2026-05-26 19:41:03,127.0.0.1,ipv6.msftconnecttest.com,GET,ERROR,0
2026-05-26 19:41:03,127.0.0.1,ipv6.msftconnecttest.com,GET,ERROR,0
2026-05-26 19:41:03,127.0.0.1,ipv6.msftconnecttest.com,GET,ERROR,0
2026-05-26 19:41:05,127.0.0.1,mobile.events.data.microsoft.com,CONNECT,ALLOWED,9085
2026-05-26 19:41:12,127.0.0.1,relay-bb34cef2.net.anydesk.com,CONNECT,ALLOWED,1684
2026-05-26 19:41:24,127.0.0.1,browser-intake-us5-datadoghq.com,CONNECT,ALLOWED,3657
2026-05-26 19:41:28,127.0.0.1,relay-bb34cef2.net.anydesk.com,CONNECT,ALLOWED,1684
2026-05-26 19:41:31,127.0.0.1,a-api.anthropic.com,CONNECT,ALLOWED,2852
2026-05-26 19:41:45,127.0.0.1,relay-bb34cef2.net.anydesk.com,CONNECT,ALLOWED,1685
2026-05-26 19:41:52,127.0.0.1,claude.ai,CONNECT,ALLOWED,114916
2026-05-26 19:41:52,127.0.0.1,browser-intake-us5-datadoghq.com,CONNECT,ALLOWED,3815
2026-05-26 19:42:19,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:42:19,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:42:19,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:42:20,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:42:20,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:42:21,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:42:21,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:42:21,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:42:21,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:42:21,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:42:21,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:42:22,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:42:22,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:42:22,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:42:22,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:42:22,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:42:22,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:42:22,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:42:22,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:42:22,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:42:22,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:42:23,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:42:23,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:42:23,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:42:23,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:42:23,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:42:23,127.0.0.1,facebook.com,CONNECT,BLOCKED,0
2026-05-26 19:42:23,127.0.0.1,a-api.anthropic.com,CONNECT,ALLOWED,1887
2026-05-26 19:42:23,127.0.0.1,api.github.com,CONNECT,ALLOWED,3278
